date,site.ID,lat,lon,so.taken,cu.taken,pi.taken
2015-06-05,D10,50.44342,-125.27904,22,10,3
2015-06-14,D10,NA,NA,NA,NA,NA
2015-06-16,D10,NA,NA ,NA,NA,NA
2015-06-18,D10,NA,NA,NA,NA,NA
2015-06-20,D10,NA,NA,NA,NA,NA
2015-06-22,D10,50.44949,-125.32427,30,10,0
2015-06-24,D10,50.44045,-125.27069,7,10,0
2015-06-29,D10,NA,NA,NA,NA,NA
2015-07-01,D10,NA,NA,NA,NA,NA
2015-05-24,D11,50.34655,-125.45602,30,10,0
2015-05-26,D11,NA,NA,NA,NA,NA
2015-05-28,D11,NA,NA,NA,NA,NA
2015-06-01,D11,50.34762,-125.45358,30,10,1
2015-06-03,D11,50.34851,-125.44831,12,10,0
2015-06-05,D11,NA,NA,NA,NA,NA
2015-06-14,D11,50.34741,-125.45333,30,10,2
2015-06-16,D11,50.34866,-125.44482,30,10,1
2015-06-18,D11,50.34829,-125.45001,30,10,0
2015-06-20,D11,50.34758,-125.4553,3,10,2
2015-06-22,D11,NA ,NA,NA,NA,NA
2015-06-24,D11,50.34969,-125.44451,9,10,10
2015-06-29,D11,50.34844,-125.44666,30,10,0
2015-07-01,D11,NA,NA,NA,NA,NA
2015-07-05,D11,50.34874,-125.44617,1,10,10
2015-07-06,D11,50.34825,-125.44895,23,10,10
2015-07-07,D11,50.34797,-125.45584,17,10,10
2015-07-14,D11,50.34811,-125.454,5,10,10
2016-05-11,D11,50.329665,-125.459697,NA,NA,NA
2016-05-16,D11,50.348167,-125.455619,NA,NA,NA
2016-05-24,D11,50.348158,-125.455649,NA,NA,NA
2016-06-02,D11,50.347739,-125.45463,30,10,4
2016-06-08,D11,50.347862,-125.455554,30,10,10
2016-06-13,D11,50.348144,-125.455654,NA,NA,NA
2016-06-30,D11,50.348081,-125.455923,22,10,10
2015-06-04,D12,NA,NA,NA,NA,NA
2016-05-11,D20,50.448888,-125.400196,NA,NA,NA
2016-05-16,D20,50.4512,-125.397111,NA,NA,NA
2016-05-24,D20,50.462287,-125.36441,NA,NA,NA
2016-06-02,D20,50.462513,-125.368231,30,3,4
2016-06-08,D20,50.461604,-125.368943,30,10,10
2016-06-08,D20,50.461604,-125.368943,0,0,0
2016-06-13,D20,50.462143,-125.364742,NA,NA,NA
2016-06-22,D20,50.458706,-125.365059,30,10,10
2016-06-30,D20,50.462531,-125.359047,6,10,10
2016-05-11,D21,50.385637,-125.374951,NA,NA,NA
2016-05-16,D21,50.393263,-125.373514,30,3,0
2016-05-24,D21,50.392115,-125.374782,30,4,4
2016-06-02,D21,50.386065,-125.376067,30,10,6
2016-06-08,D21,50.389498,-125.369949,NA,NA,NA
2016-06-13,D21,50.391225,-125.365332,15,9,10
2016-06-22,D21,50.382455,-125.373533,60,10,10
2016-06-22,D21,50.382455,-125.373533,0,0,0
2016-06-30,D21,50.378699,-125.373927,6,10,10
2016-05-07,D22,50.224243,-125.395419,NA,NA,NA
2016-05-15,D22,50.243454,-125.398108,30,10,10
2016-05-23,D22,50.224106,-125.395004,30,10,10
2016-05-23,D22,50.224106,-125.395004,0,0,0
2016-05-27,D22,50.243773,-125.397476,30,8,10
2016-06-01,D22,50.24565,-125.396035,30,10,10
2016-06-07,D22,50.242671,-125.398265,30,10,10
2016-06-14,D22,50.235322,-125.39888,30,10,10
2016-06-21,D22,50.236643,-125.39734,0,0,0
2016-06-21,D22,50.236643,-125.39734,0,0,0
2016-06-21,D22,50.236643,-125.39734,0,0,0
2016-06-29,D22,50.243627,-125.39634,NA,NA,NA
2016-07-06,D22,50.243843,-125.396386,NA,NA,NA
2016-05-07,D23,50.207638,-125.356127,NA,NA,NA
2016-05-15,D23,50.208559,-125.355064,0,0,0
2016-05-15,D23,50.208559,-125.355064,0,0,0
2016-05-09,D24,50.233615,-125.114968,NA,NA,NA
2016-05-14,D24,50.237386,-125.12002,30,1,1
2016-05-19,D24,50.241361,-125.119113,30,10,10
2016-05-26,D24,50.238058,-125.117858,NA,NA,NA
2016-06-03,D24,50.239953,-125.126574,30,10,10
2016-06-09,D24,49.99628,-125.153277,NA,NA,NA
2016-06-16,D24,50.238067,-125.1179,0,0,0
2016-06-16,D24,50.238067,-125.1179,0,0,0
2016-06-23,D24,50.24043,-125.119941,21,10,10
2016-06-28,D24,50.240198,-125.119865,NA,NA,NA
2016-07-05,D24,50.240733,-125.12055,0,0,0
2016-07-05,D24,50.240733,-125.12055,0,0,0
2016-05-10,D25,50.022435,-124.916494,NA,NA,NA
2016-05-13,D25,50.023957,-124.914675,31,10,10
2016-05-13,D25,50.023957,-124.914675,0,0,0
2016-05-18,D25,50.020465,-124.917743,30,5,3
2016-05-18,D25,50.020465,-124.917743,0,0,0
2016-06-11,D25,50.021998,-124.916211,1,5,8
2016-06-11,D25,50.021998,-124.916211,0,0,0
2016-06-24,D25,50.022465,-124.916635,0,0,0
2016-05-10,D26,49.89932,-125.144043,NA,NA,NA
2016-05-13,D26,49.90799,-125.162322,NA,NA,NA
2016-05-18,D26,49.935861,-125.175185,NA,NA,NA
2016-06-11,D26,49.917424,-125.164588,NA,NA,NA
2016-06-24,D26,49.92905,-125.17525,NA,NA,NA
2016-05-23,D27,50.274701,-125.377445,30,10,10
2016-05-27,D27,50.274454,-125.377924,NA,NA,NA
2016-06-01,D27,50.274055,-125.328828,30,10,10
2016-06-14,D27,50.275083,-125.381356,7,10,10
2016-06-21,D27,50.274476,-125.377946,NA,NA,NA
2016-06-29,D27,50.274799,-125.377479,NA,NA,NA
2016-07-06,D27,50.275178,-125.378066,24,10,10
2016-06-22,D28,50.38992,-125.613237,0,0,0
2016-06-30,D28,50.387691,-125.619231,NA,NA,NA
2015-05-24,J01,NA,NA,NA,NA,NA
2015-05-27,J01,NA,NA,NA,NA,NA
2015-05-28,J01,50.57078,-126.70066,30,10,0
2015-06-01,J01,50.57871,-126.72129,25,10,1
2015-06-05,J01,50.56784,-126.69728,30,10,3
2015-06-08,J01,50.57687,-126.72184,30,10,10
2015-06-13,J01,NA,NA,NA,NA,NA
2015-06-16,J01,50.58185,-126.71983,30,10,10
2015-06-18,J01,50.58086,-126.72272,4,10,10
2015-06-23,J01,50.58209,-126.71978,18,10,2
2015-06-27,J01,50.58165,-126.71952,10,10,10
2015-07-02,J01,NA,NA,NA,NA,NA
2015-07-07,J01,NA,NA,NA,NA,NA
2015-07-10,J01,NA,NA,NA,NA,NA
2016-05-22,J01,50.585454,-126.749707,NA,NA,NA
2016-05-27,J01,50.576696,-126.721158,30,10,10
2016-06-01,J01,50.576696,-126.721158,18,10,10
2016-06-10,J01,50.5771,-126.721684,22,10,10
2016-06-17,J01,50.579213,-126.71432,30,10,10
2016-06-24,J01,50.57849,-126.72185,NA,NA,NA
2016-07-04,J01,50.580247,-126.721745,0,0,0
2015-05-24,J02,50.60101,-126.70394,30,7,0
2015-05-27,J02,NA,NA,NA,NA,NA
2015-06-01,J02,50.60051,-126.70319,30,5,0
2015-06-04,J02,50.5956,-126.69022,30,10,1
2015-06-09,J02,50.59537,-126.69062,30,10,0
2015-06-16,J02,50.59549,-126.69036,6,10,10
2015-06-19,J02,50.60263,-126.70188,30,10,10
2015-06-23,J02,50.60237,-126.70219,18,10,10
2015-06-28,J02,50.60255,-126.70201,0,10,10
2015-07-02,J02,NA,NA,NA,NA,NA
2015-07-07,J02,NA,NA,NA,NA,NA
2015-07-10,J02,NA,NA,NA,NA,NA
2016-05-22,J02,50.601718,-126.701857,30,8,10
2016-05-28,J02,50.60125,-126.704457,30,10,6
2016-06-01,J02,50.60125,-126.704457,30,10,10
2016-06-09,J02,50.602327,-126.701507,30,10,10
2016-06-17,J02,50.602051,-126.704553,30,7,10
2016-06-24,J02,50.6017,-126.70318,4,10,10
2016-07-04,J02,50.601529,-126.703784,0,0,0
2015-05-20,J03,NA,NA,NA,NA,NA
2015-05-23,J03,50.54648,-126.67096,30,0,0
2015-05-26,J03,50.54672,-126.67256,30,10,0
2015-05-31,J03,50.54605,-126.66218,30,10,0
2015-06-04,J03,50.54216,-126.63511,30,10,7
2015-06-08,J03,50.54418,-126.63202,30,10,1
2015-06-13,J03,NA,NA,NA,NA,NA
2015-06-15,J03,50.54719,-126.67487,30,10,
2015-06-17,J03,50.5463,-126.66727,3,10,10
2015-06-23,J03,50.54774,-126.67774,30,10,10
2015-06-28,J03,50.54277,-126.64149,0,10,10
2015-07-01,J03,50.54703,-126.67197,3,8,10
2015-07-07,J03,NA,NA,NA,NA,NA
2015-07-10,J03,NA,NA,NA,NA,NA
2016-05-22,J03,50.54692,-126.67193,0,0,0
2016-05-28,J03,50.545897,-126.668909,30,1,0
2016-06-04,J03,50.543029,-126.632233,30,6,10
2016-06-10,J03,50.547475,-126.676942,30,2,10
2016-06-18,J03,50.546326,-126.669166,6,10,10
2016-06-23,J03,50.55803,-126.73463,26,10,10
2016-07-04,J03,50.546834,-126.671577,NA,NA,NA
2015-05-21,J04,NA,NA,NA,NA,NA
2015-05-22,J04,50.52222,-126.39167,30,2,0
2015-05-25,J04,50.52363,-126.39046,30,10,2
2015-05-30,J04,NA,NA,NA,NA,NA
2015-05-31,J04,50.52152,-126.40028,30,10,0
2015-06-03,J04,NA,NA,NA,NA,NA
2015-06-04,J04,50.52232,-126.39556,30,10,0
2015-06-07,J04,NA,NA,NA,NA,NA
2015-06-07,J04,NA,NA,NA,NA,NA
2015-06-08,J04,50.52411,-126.39107,30,10,2
2015-06-15,J04,50.52618,-126.38632,7,10,0
2015-06-17,J04,50.52491,-126.38617,3,10,10
2015-06-20,J04,50.5194,-126.40831,30,10,10
2015-06-29,J04,NA,NA,NA,NA,NA
2016-05-21,J04,50.526493,-126.38718,0,0,0
2016-05-26,J04,50.522967,-126.377383,30,7,5
2016-06-04,J04,50.525287,-126.390347,0,0,0
2016-06-10,J04,50.51821,-126.406079,30,10,9
2016-06-19,J04,50.526814,-126.38816,NA,NA,NA
2016-06-24,J04,50.52635,-126.38762,NA,NA,NA
2016-07-05,J04,50.526362,-126.389689,NA,NA,NA
2015-05-20,J05,50.50535,-126.24163,30,10,1
2015-05-25,J05,50.49853,-126.21348,30,10,0
2015-05-28,J05,NA,NA,NA,NA,NA
2015-05-29,J05,NA,NA,NA,NA,NA
2015-05-30,J05,50.50733,-126.24336,30,10,0
2015-06-02,J05,50.50763,-126.24218,30,10,0
2015-06-06,J05,NA,NA,NA,NA,NA
2015-06-07,J05,50.49983,-126.20581,30,10,0
2015-06-11,J05,50.50008,-126.20937,30,10,10
2015-06-14,J05,50.49881,-126.21349,30,10,2
2015-06-18,J05,50.49921,-126.20961,17,10,10
2015-06-20,J05,NA,NA,NA,NA,NA
2015-06-21,J05,50.49608,-126.21645,30,10,1
2015-06-24,J05,50.49837,-126.21404,30,10,10
